ALGORITHM,MAKESPAN,AVERAGE TIME OF JOB,LATENESS,SLA VIOLATION
random,5603,353,350,347
criticalRatio,5675,333,330,327
roundRobin,5686,400,397,394
earliestDueDate,5696,409,406,403
shortestProcessingTime,5695,254,251,248
