HEURISTIC,MAKESPAN,AVERAGE TIME OF JOB,LATENESS,SLA VIOLATION
normal_criticalRatio,9119,2158.8853,21541318,21494640
normal_earliestDueDate,9110,2723.755,27190015,27143337
normal_random,9139,2451.621,24468675,24421997
normal_roundRobin,9110,2728.3891,27236356,27189678
normal_shortestProcessingTime,9123,1916.4623,19117088,19070410
uniform_criticalRatio,14967,1906.6683,19011606,18956903
uniform_earliestDueDate,15012,2460.3829,24548752,24494049
uniform_random,14856,2064.7232,20592155,20537452
uniform_roundRobin,14957,2444.9729,24394652,24339949
uniform_shortestProcessingTime,14969,1482.1478,14766401,14711698
